household_structure,households,residential_buildings_with_1_apartment,residential_buildings_with_2_apartments,residential_buildings_with_3_apartments_or_more
Haushalte,1769.213855,182.181873,169.507117,1417.524865
mit 1 Person,908.064342000002,49.321393,92.3547560000002,766.388193000002
darunter weiblich,466.279097000001,27.981201,40.880256,397.41764
mit 2 Personen,534.152646,79.696667,44.131672,410.324307
mit 3 Personen,175.63167,25.570148,17.106935,132.954587
mit 4 Personen,108.465457,21.051597,11.794146,75.619714
mit 5 und mehr Personen,42.89974,6.542068,/,32.238064
mit Kindern unter 18 Jahren,313.88112,37.999719,32.839387,243.042014
ohne Kinder unter 18 Jahren,1455.332735,144.182154,136.66773,1174.482851
unter 700,31.494149,/,/,23.985373
700  –     900,170.597774,5.681352,17.496582,147.41984
900  –  1 100,146.704488,5.49632,13.547399,127.660769
1 100  –  1 300,161.996641,7.551081,13.183237,141.262323
1 300  –  1 500,159.443021,6.921116,16.193747,136.328158
1 500  –  2 000,325.876659999999,23.477605,25.835023,276.564031999999
2 000  –  3 200,443.642619,49.437001,35.859025,358.346593
3 200  –  4 500,191.696255,38.641015,21.359472,131.695768
4 500  –  6 000,84.228016,24.285195,12.625281,47.31754
6 000  –  7 500,27.992303,10.148412,/,13.885189
7 500 und mehr,25.407647,7.530942,/,12.924998
1 Einkommensbezieher,1009.706624,58.439798,102.210452,849.056374000002
2 und mehr Einkommensbezieher,759.372948999998,123.742075,67.296665,568.334208999998
Erwerbspersonen,1165.551891,112.009844,128.721396,924.820651
Erwerbstätige,1066.795576,109.214172,120.188118,837.393286
Selbstständige,180.928073,26.379617,31.04842,123.500036
Beamte,59.877867,14.184955,6.538762,39.15415
Angestellte,701.258766000002,62.109405,73.4314270000001,565.717934000001
Arbeiter,110.229222,6.438655,7.379686,96.4108809999999
Erwerbslose,98.7563149999999,/,8.533278,87.4273649999999
Nichterwerbspersonen,603.661963999999,70.1720289999999,40.785721,492.704213999999
darunter Rentner,473.074089,64.222426,25.411129,383.440534
unter 25,75.6721819999999,/,9.031225,64.1856589999999
25 – 30,152.823538,/,18.55258,129.509669
30 – 40,320.929975,16.139906,40.188065,264.602004
40 – 50,327.801054,35.116393,37.806986,254.877675
50 – 60,320.200124,40.941844,29.010907,250.247373
60 – 65,126.12687,17.670245,8.220016,100.236609
65 und mehr,445.660112000001,65.0968979999999,26.697338,353.865876000001
