family_structure,total,owners,owners_percentage,main_tenants,main_tenants_percentage
Familien,411.525082,78.429662,19.058294483251,333.09542,80.9417055167491
mit Kind(ern) unter 18 Jahren,313.793149,52.401162,16.6992689824468,261.391987,83.3007310175533
1 Kind,178.613624,27.406821,15.3441940128823,151.206803,84.6558059871179
2 und mehr Kinder,135.179525,24.994341,18.4897387381706,110.185184,81.5102612618294
Kinder unter 18 Jahren,493.887885,82.717957,16.748326798905,411.169928,83.251673201095
Ehepaare,212.890987,56.479674,26.5298568041305,156.411313,73.4701431958695
mit Kind(ern) unter 18 Jahren,165.432573,38.706583,23.3971957868297,126.72599,76.6028042131703
1 Kind,76.530326,17.870918,23.3514201938719,58.659408,76.6485798061282
2 und mehr Kinder,88.9022470000001,20.835665,23.4366011018821,68.0665820000001,76.5633988981179
Kinder unter 18 Jahren,286.695345,63.888053,22.2843007792819,222.807292,77.7156992207181
Lebensgemeinschaften,55.0643570000001,6.09424,11.0674859964314,48.970117,88.9325140035686
mit Kind(ern) unter 18 Jahren,50.849653,5.423875,10.666493633693,45.425778,89.3335063663069
1 Kind,34.530692,/,/,30.886361,89.4461107237584
2 und mehr Kinder,16.318961,/,/,14.539417,89.0952371293736
Kinder unter 18 Jahren,71.99375,7.572851,10.5187616980641,64.420899,89.4812383019359
Alleinerziehende,143.569738,15.855748,11.0439346208182,127.71399,88.9560653791819
mit Kind(ern) unter 18 Jahren,97.510923,8.270704,8.48182310816605,89.240219,91.5181768918339
1 Kind,67.552606,5.891572,8.72145776285818,61.661034,91.2785422371418
2 und mehr Kindern,29.958317,/,/,27.579185,92.0585258511017
Kinder unter 18 Jahren,135.19879,11.257053,8.32629715103219,123.941737,91.6737028489678
unter 900,/,/,/,/,/
900  –  1 100,9.988869,/,/,9.343964,93.5437635632222
1 100  –  1 300,23.653894,/,/,22.16813,93.7187340063332
1 300  –  1 500,30.328846,/,/,28.463979,93.8511771928282
1 500  –  2 000,75.935299,/,/,71.35891,93.9733048262574
2 000  –  3 200,130.320907,17.991687,13.8056796980396,112.32922,86.1943203019604
3 200  –  4 500,73.457013,19.55964,26.6273282851836,53.897373,73.3726717148164
4 500  –  6 000,38.793985,17.231908,44.4190201135563,21.562077,55.5809798864438
6 000  –  7 500,13.524284,6.950034,51.3892935108432,6.57425,48.6107064891568
7 500 und mehr,11.689936,7.78454,66.5918102545643,/,/
Erwerbspersonen,349.64565,69.0634490000001,19.7524119061684,280.582201,80.2475880938315
Erwerbstätige,312.719297,68.0831960000001,21.7713446701692,244.636101,78.2286553298308
Selbstständige,62.190312,17.815984,28.6475231061713,44.374328,71.3524768938287
Beamte,14.973511,6.698826,44.7378440500695,8.274685,55.2621559499305
Angestellte,190.846968,38.815737,20.3386710340612,152.031231,79.6613289659389
Arbeiter,42.227637,/,/,37.474988,88.7451694254168
Erwerbslose,36.926353,/,/,35.9461,97.3453836613651
Nichterwerbspersonen,61.879432,9.366213,15.1362297572479,52.513219,84.8637702427521
darunter Rentner,23.815417,7.670411,32.2077543298948,16.145006,67.7922456701052
unter 25,6.774062,/,/,6.649135,98.1558037112739
25 – 30,23.599695,/,/,23.259011,98.5564050721842
30 – 40,109.470495,10.283955,9.39427103166017,99.1865400000002,90.6057289683399
40 – 50,150.586893,32.130595,21.3369134324326,118.456298,78.6630865675673
50 – 60,88.482162,23.965571,27.0852005175913,64.516591,72.9147994824087
60 – 65,15.339822,5.077997,33.1033632593651,10.261825,66.8966367406349
65 und mehr,17.271953,6.505933,37.6676163952044,10.76602,62.3323836047956
