district_name,total,uninhabited_apartments,inhabited_apartments,inhabited_apartments_living_area,inhabited_apartments_living_area_per_apartment,inhabited_apartments_living_area_per_person,inhabited_apartments_persons_per_apartment
Mitte,183.884779000003,13.587496,170.297283000003,1148.57397670002,67.4452320357923,35.5700807103603,1.89612254706377
Friedrichshain-Kreuzberg,142.790414,10.009554,132.78086,887.039818500003,66.8047953974692,35.6229541690947,1.87533002120938
Pankow,209.269611000003,8.870328,200.399283000003,1401.21763830002,69.921290002819,38.4442437670303,1.81877137255027
Charlottenburg-Wilmersdorf,178.466335999997,15.055124,163.411211999998,1210.21029789998,74.0591960054735,43.5529974559212,1.70043855375114
Spandau,115.991685000001,10.686214,105.305471000001,726.954478700009,69.0329260005874,40.0582700112667,1.72331271373355
Steglitz-Zehlendorf,169.808891,15.906688,153.902203,1240.258653,80.5874528644661,45.0980754940989,1.78693773473795
Tempelhof-Schöneberg,184.543080999998,13.852345,170.690735999999,1272.89501609999,74.5731752014943,40.8708593529811,1.82460502132934
Neukölln,159.846848000003,13.773134,146.073714000003,1021.04667190002,69.8994120119379,35.8925070834983,1.94746529823977
Treptow-Köpenick,130.877275,7.72387000000001,123.153405,871.873785600003,70.7957514938381,39.2960463261449,1.80159985832304
Marzahn-Hellersdorf,127.032390000002,5.570586,121.461804000001,861.66733420001,70.9414240381281,38.0067335735216,1.86654882879889
Lichtenberg,154.222353000005,6.564462,147.657891000004,949.802474500028,64.3245320698776,36.7269870798832,1.75142414840532
Reinickendorf,127.731076999998,8.478088,119.252988999999,927.429391799989,77.7699074528018,40.99826414943,1.89690732196239
