type,apartments,below_6_euros,between_6_and_7_euros,between_7_and_8_euros,between_8_and_9_euros,between_9_and_10_euros,more_than_10_euros,average
Insgesamt,1404.04683900001,121.921273000001,336.386876000003,472.540254000001,257.803415000001,108.516383,106.878638,7.66703065535527
1 Wohnung,18.213989,/,/,6.158515,/,/,/,7.70911211909673
2 Wohnungen,19.154479,/,/,6.67607399999998,/,/,/,7.48819135293355
3 –    6 Wohnungen,238.958424000001,17.649537,53.2267400000001,84.7768300000003,49.7889710000002,16.762896,16.75345,7.6778519546604
7 –  12 Wohnungen,900.330855000005,85.0234770000005,231.703303000002,312.121215000001,149.805994000001,64.4478860000001,57.22898,7.56386289226672
13 –  20 Wohnungen,70.028767,6.524085,11.098194,17.668317,14.679215,10.077793,9.981163,8.16757658621019
21 und mehr Wohnungen,157.360325,8.053779,33.273929,45.1393030000001,36.863473,14.693671,19.33617,8.03501265909517
unter  40,139.3463,5.03648,10.696066,32.512572,38.016958,22.138589,30.945635,8.73731556689539
40 –   60,465.185950000002,30.100322,99.6062570000005,178.814328000001,91.6473570000004,34.752344,30.265342,7.70539524870887
60 –   80,518.978495000003,51.8351680000001,158.196604000001,172.805270000001,83.3288070000003,29.734866,23.07778,7.39073416699959
80 – 100,182.006797,20.807771,50.2114230000001,56.2178010000002,31.082999,12.60695,11.079853,7.49717057134779
100 – 120,59.145613,7.349681,12.220391,19.308648,8.778188,5.98515,5.503555,7.66193310088584
120 und mehr,39.383684,6.791851,5.456135,12.881635,/,/,6.006473,7.86056794197263
Zusammen,530.085633,55.272447,116.413752,191.833292,86.235369,38.482152,41.848621,7.63063406861974
unter  40,31.659064,/,/,9.773761,8.502248,/,5.094029,8.53729215412881
40 –   60,174.132144,12.460822,35.259008,67.0598520000002,30.775745,13.675439,14.901278,7.75595780380128
60 –   80,171.962314,19.81485,46.313643,60.3140860000002,25.489307,10.676684,9.353744,7.41860393950821
80 – 100,83.274637,9.83715799999999,20.196545,30.265348,12.966232,/,5.549012,7.51707421503186
100 – 120,36.215957,5.100521,7.85103,13.932635,/,/,/,7.4293776032374
120 und mehr,32.841517,6.54369,/,10.48761,/,/,/,7.71222913211215
Zusammen,873.961206000003,66.648826,219.973124000001,280.706962000002,171.568046,70.034231,65.030017,7.68910635801381
unter  40,107.687236,/,8.859949,22.738811,29.51471,17.201086,25.851606,8.7961206236644
40 –   60,291.053806000001,17.6395,64.3472490000001,111.754476000001,60.8716120000002,21.076905,15.364064,7.67514460108685
60 –   80,347.016181000002,32.020318,111.882961000001,112.491184000001,57.8395000000001,19.058182,13.724036,7.37692342607846
80 – 100,98.73216,10.970613,30.014878,25.952453,18.116767,8.146608,5.530841,7.4803830453505
100 – 120,22.929656,/,/,5.376013,/,/,/,8.02923995899785
120 und mehr,6.542167,/,/,/,/,/,/,8.60522510920679
