type,apartments,collective_heating,district_heating,gas,electricity,heating_oil,briquettes_lignite_coal_coke_hard_coal,wood_or_other_renewable_energies
Insgesamt,1711.32630200001,1673.05117700001,715.667277000005,568.385424,10.858784,371.858218000001,/,5.65632
bis 1918,353.776154,334.994842,67.5172829999999,212.031847999999,/,51.8853230000003,/,/
1919 – 1948,313.447891000001,306.417775000001,96.2883520000002,147.695855,/,58.9486360000003,/,/
1949 – 1978,756.904008000002,746.536684000002,359.689495000001,158.301677,/,222.443467,/,/
1979 – 1990,235.015813000004,233.244169000004,183.149970000004,16.123896,/,32.53795,/,/
1991 – 2000,36.767706,36.650905,8.182659,22.910263,/,5.012019,–,/
2001 und später,15.41473,15.206802,/,11.321885,–,/,–,/
unter  40,142.287685,137.324822,74.2936380000001,28.233706,/,33.9983099999999,–,–
40 –   60,492.751463000002,480.275885000002,235.213666000002,153.961166,/,87.1322410000002,–,/
60 –   80,589.749193000003,579.185288000003,278.433703000003,174.88847,/,122.301232,–,/
80 – 100,237.290520000001,232.483823000001,91.0401110000005,87.8256290000002,/,49.6645240000001,/,/
100 – 120,117.364439,114.629201,24.629409,54.674061,/,33.896189,/,/
120 und mehr,131.883002,129.152158,12.05675,68.802392,/,44.865722,/,/
Zusammen,255.400309,249.630706,31.128335,117.992791,/,94.475493,/,/
bis 1918,43.515252,42.738738,6.068985,29.069733,–,7.528806,/,/
1919 – 1948,61.154812,59.473364,/,36.020444,/,16.89824,/,/
1949 – 1978,91.690296,89.827812,14.235189,20.400998,/,54.22083,/,/
1979 – 1990,26.798037,25.673609,/,7.275549,/,12.553893,/,/
1991 – 2000,17.973626,17.856825,/,14.280011,/,/,–,/
2001 und später,14.268286,14.060358,/,10.946056,–,/,–,/
unter  40,/,/,/,/,–,/,–,–
40 –   60,18.416817,17.64111,/,/,/,7.808231,–,–
60 –   80,49.686667,48.698027,11.04747,17.405363,/,19.695054,–,/
80 – 100,44.486586,43.511376,6.244708,21.20799,/,15.272114,/,/
100 – 120,53.46786,52.058536,5.37772,26.035847,/,19.235856,/,/
120 und mehr,87.1778049999999,85.5570829999999,/,48.0901299999999,/,31.062603,/,/
Zusammen,1455.92599300001,1423.42047100001,684.538942000004,450.392633000001,8.587366,277.382725000001,–,/
bis 1918,310.260902,292.256104,61.448298,182.962114999999,/,44.3565170000002,–,/
1919 – 1948,252.293079000001,246.944411000001,91.4203170000003,111.675411,/,42.0503960000001,–,/
1949 – 1978,665.213712000002,656.708872000002,345.454306,137.900679000001,/,168.222637000001,–,/
1979 – 1990,208.217776000004,207.570560000004,178.166424000004,8.848347,/,19.984057,–,/
1991 – 2000,18.79408,18.79408,7.923234,8.630252,–,/,–,–
2001 und später,/,/,/,/,–,/,–,/
unter  40,140.123111,135.160248,73.7861230000001,27.978282,/,32.596675,–,–
40 –   60,474.334646000002,462.634775000003,230.887043000002,148.963129,/,79.3240100000001,–,/
60 –   80,540.062526000004,530.487261000004,267.386233000003,157.483107,/,102.606178,–,/
80 – 100,192.803934,188.972447,84.7954030000004,66.6176390000001,/,34.39241,–,/
100 – 120,63.896579,62.570665,19.251689,28.638214,/,14.660333,–,–
120 und mehr,44.705197,43.595075,8.43245099999999,20.712262,/,13.803119,–,/
