type,apartments,collective_heating,district_heating,central_heating,floor_heating,single_or_more_space_ovens
1 Wohnung,149.151791,143.389304,5.293303,118.624971,19.784784,5.762487
2 Wohnungen,30.6576809999998,29.5334929999999,6.04499399999999,17.432409,6.125034,/
3 –    6 Wohnungen,279.101293000001,274.010138000001,109.350743000001,123.743937,41.0463020000001,5.091155
7 –  12 Wohnungen,1000.37267199994,976.068393999943,444.936311000003,386.175015,145.765673,24.304278
13 –  20 Wohnungen,81.1273160000004,80.7358730000004,30.7116730000001,43.679362,6.344838,/
21 und mehr Wohnungen,170.915549000002,169.313975000002,119.618357000001,47.5194799999999,/,/
Zusammen,255.400309,249.630706,31.272387,184.844743,33.89929,5.769603
1 Wohnung,130.048615,125.257451,/,108.058931,15.17434,/
2 Wohnungen,9.97808199999999,9.65251499999999,/,7.54164300000001,/,/
3 –    6 Wohnungen,30.678889,30.444965,/,21.380466,/,/
7 –  12 Wohnungen,67.3544760000002,66.9355280000001,18.534367,37.903668,10.641545,/
13 –  20 Wohnungen,7.829904,7.829904,/,/,/,–
21 und mehr Wohnungen,9.51034299999999,9.51034299999999,/,5.264341,/,–
Zusammen,1455.92599299995,1423.42047099996,684.682994000005,552.330431000001,187.343479000001,32.505522
1 Wohnung,19.103176,18.131853,/,10.56604,/,/
2 Wohnungen,20.679599,19.880978,5.58382699999999,9.890766,/,/
3 –    6 Wohnungen,248.422404000002,243.565173000002,104.671518000001,102.363471,36.6610280000001,/
7 –  12 Wohnungen,933.018195999949,909.132865999952,426.401944000003,348.271347000001,135.124128000001,23.88533
13 –  20 Wohnungen,73.2974120000002,72.9059690000002,28.7359700000001,38.983668,5.186331,/
21 und mehr Wohnungen,161.405206000002,159.803632000002,116.261377000001,42.255139,/,/
