household_structure,apartments,with_1_room,with_2_rooms,with_3_rooms,with_4_rooms_or_more,total_rooms,rooms_per_apartment,rooms_per_person
Haushalte,1769.741579,233.648465,614.284435999999,554.020414000001,367.788263999999,4786.634973,2.7047084330271,1.43655638953058
Eigentümerhaushalte,303.003475999999,5.026357,37.940545,82.0841850000001,177.952389,1182.58040399999,3.90286085034879,1.77057532452282
Mieterhaushalte,1466.738103,228.622108,576.343890999999,471.936229000001,189.835875,3604.05456900001,2.45719025204871,1.35281604464754
mit 1 Person,868.320286000003,217.784274,425.2435,168.435587,56.856925,1821.74365000001,2.09800885614689,2.05558749053794
darunter weiblich,445.527954000001,86.4890459999999,225.199663999999,99.447725,34.391519,983.787041000001,2.20813763124726,2.16737531828595
mit 2 Personen,542.002383999999,13.604774,155.017976,238.882751999999,134.496882,1641.30013499999,3.02821571168587,1.49313862602259
mit 3 Personen,186.645712,/,22.027289,91.36861,71.318532,638.141969000001,3.41900149841107,1.11514450636424
mit 4 Personen,126.879422,/,10.011449,41.30271,75.2371269999999,491.399282000001,3.87296280400773,0.946847833078245
mit 5 und mehr Personen,45.893775,–,/,14.030755,29.878798,194.049937,4.22824091066817,0.760034685793138
mit Kindern unter 18 Jahren,339.396109,/,47.962872,144.01532,144.152111,1194.785197,3.52032673715773,0.982173802236784
mit 1 Kind,191.087075,/,35.736029,90.615203,62.10005,624.557022,3.26844200216053,1.09810472666063
mit 2 Kindern,111.205948,/,9.697552,40.295418,60.582965,422.247581000001,3.79698737876863,0.947917021061889
mit 3 Kindern,28.609468,–,/,10.247068,16.801989,114.366813,3.99751624182596,0.792509868311707
mit 4 und mehr Kindern,8.493618,–,/,/,/,33.613781,3.95753388014389,0.580010987047125
ohne Kinder unter 18 Jahren,1430.34547,230.382658999999,566.321564,410.005094,223.636153,3591.84977600002,2.51117639153289,1.69783260179128
unter 900,120.441581,63.366795,48.164439,7.030645,/,188.933594,1.56867414418946,1.50453555127262
900  –  1 500,355.459353,93.1096290000001,183.686176,61.546821,17.116727,716.995259,2.01709493068255,1.64658671661374
1 500  –  2 000,305.028633,36.433685,142.040208,98.3358080000001,28.218932,736.409677999999,2.41423131578602,1.52007103782353
2 000  –  3 200,483.854888999999,30.599984,160.097405,202.124430999999,91.033069,1346.25257699999,2.78234778154737,1.39763626041378
3 200  –  4 500,265.881438,6.597645,54.323651,114.18295,90.7771919999999,859.861853,3.23400482360863,1.29918298766499
4 500  –  6 000,135.648331,/,15.95167,48.270192,68.817357,498.537242999999,3.67521840722095,1.35618544192845
6 000 und mehr,101.804885,/,9.56963,22.005723,69.394736,434.539164999999,4.26835279073298,1.49693765872051
1 Einkommensbezieher,969.974400000002,220.79313,454.245014,214.388916,80.5473400000001,2127.03456399999,2.19287701201185,1.84362610868103
2 und mehr Einkommensbezieher,798.932829000004,12.758516,159.713401,339.452208000001,287.008703999999,2657.384798,3.32616798501841,1.22062955657456
Erwerbspersonen,1186.637009,156.477461,396.152870999999,366.366659000001,267.640017999999,3268.050453,2.75404393105356,1.34135630798342
Erwerbstätige,1128.119018,139.836597,371.886236999999,353.767166000001,262.629018,3143.97841299997,2.78692085040267,1.35249663104607
Selbstständige,180.02058,19.680284,51.634012,49.605077,59.101207,554.346377999998,3.07935002764683,1.46233153516072
Beamte,64.158408,/,15.35328,21.686088,24.777558,217.298004,3.38689831580609,1.57345370801638
Angestellte,786.569421999999,99.2893929999999,268.803855,253.641647,164.834527,2136.27491899999,2.71593944443978,1.32761575985028
Arbeiter,87.6121469999998,15.274145,32.009654,27.456586,12.871762,216.226532,2.46799718308467,1.18714309610315
Erwerbslose,58.517991,16.640864,24.266634,12.599493,5.011,124.07204,2.12023751806517,1.10973147032933
Nichterwerbspersonen,583.104570000002,77.171004,218.131564999999,187.653755,100.148246,1518.58452000001,2.60430906929781,1.69552501392039
darunter Rentner,462.287334999999,43.921556,171.839645,160.200915,86.3252190000001,1250.507998,2.70504490026749,1.88317204264974
unter 25,51.934907,20.700088,22.289315,6.61558,/,95.74734,1.84360280071359,1.19473745891362
25 – 45,626.737948999998,103.271248,234.259441999999,188.815221,100.392038,1579.52671799999,2.52023468583677,1.16518659280863
45 – 65,623.897194000002,71.147737,188.030627,195.882025,168.836805,1811.78797000001,2.90398480298343,1.48789881795131
65 und mehr,467.171528999999,38.529392,169.705052,162.707588,96.229497,1299.572945,2.78178969463699,1.91508713401249
ohne Migrationshintergrund,1347.512013,154.062484,461.859478999999,429.462998000001,302.127051999999,3736.26253099996,2.77271185336732,1.57000306415245
mit Migrationshintergrund,422.229566,79.585981,152.424957,124.557416,65.661212,1050.372442,2.48768093610952,1.10305450379613
davon deutsch,147.535837,19.376845,49.797189,48.900633,29.46117,398.725792999999,2.7025690917387,1.19689484923911
ausländisch,274.693728999999,60.209136,102.627768,75.6567830000001,36.200042,651.646648999998,2.37226620124262,1.05256016454906
