household_structure,total,gross_rent_below_300_euros,gross_rent_between_300_and_400_euros,gross_rent_between_400_and_500_euros,gross_rent_between_500_and_600_euros,gross_rent_between_600_and_700_euros,gross_rent_between_700_and_800_euros,gross_rent_more_than_800_euros,gross_rent_average
Hauptmieterhaushalte,1436.02635,81.146827,250.626302,340.633769,263.507353999999,175.468073,113.073999,211.570026,577.804416331913
mit 1 Person,756.243125000002,74.165882,213.494923999999,209.900770999999,122.942103,63.780486,33.945636,38.013323,474.96241382029
darunter weiblich,384.597892,25.752153,102.220843,117.039668,69.332954,34.664596,17.796614,17.791064,483.140335236159
mit 2 Personen,408.697573,6.155662,31.097498,101.135429,91.4342720000002,63.94993,35.030514,79.8942679999999,639.449416427046
mit 3 Personen,145.599868,/,/,18.9632,28.692163,25.735796,20.761438,47.107967,751.03630161945
mit 4 Personen,90.7796670000001,–,/,8.644763,15.064773,16.892515,16.738094,31.870961,786.113570398975
mit 5 und mehr Personen,34.706117,/,/,/,5.374043,5.109346,6.598317,14.683507,821.179962022257
mit Kindern unter 18 Jahren,270.223666,/,9.020515,37.761213,50.381654,47.231084,38.372499,85.877204,749.450284587582
mit 1 Kind,157.955226,/,6.366936,26.076209,30.753684,27.009334,19.973751,46.507845,724.975368564254
mit 2 Kindern,82.436998,/,/,9.051315,14.255169,15.539223,12.911916,28.292504,782.261348514899
mit 3 Kindern,22.558205,/,/,/,/,/,/,7.861003,789.60811837644
mit 4 und mehr Kindern,7.273237,–,/,/,/,/,/,/,784.53873742874
ohne Kinder unter 18 Jahren,1165.802684,79.56733,241.605786999999,302.872556,213.125699999999,128.236989,74.7014999999999,125.692822,538.018287503787
unter 900,112.781691,27.955927,55.8345,21.532825,5.477899,/,/,/,357.49462781153
900  –  1 500,324.871324,29.008525,101.527432,104.278049,55.642551,22.473458,7.976691,/,441.800082164223
1 500  –  2 000,268.305485999999,13.31211,47.123465,86.095597,58.270835,34.773042,16.42671,12.303727,507.478966922801
2 000  –  3 200,401.947261,7.720935,36.998684,94.6582460000001,98.125745,70.154748,43.5860710000001,50.702832,590.669912899344
3 200  –  4 500,195.894209,/,6.863767,26.975633,34.229445,32.088603,29.731753,63.881373,720.839415390784
4 500  –  6 000,85.08395,/,/,5.887116,9.31992,11.413452,11.189645,44.761301,868.10179689589
6 000 und mehr,46.036995,/,/,/,/,/,/,35.36967,1228.90810940201
1 Einkommensbezieher,840.715590000001,76.103676,219.235278999999,227.312517,140.433134,79.081947,43.203122,55.345915,492.559934820527
2 und mehr Einkommensbezieher,594.603809,5.043151,31.298943,113.113142,122.77228,96.3861260000001,69.870877,156.11929,698.376497996836
Erwerbspersonen,974.547439999998,52.079513,144.479131,208.397154,177.056154,126.218291,88.151146,178.166051,610.317868353336
Erwerbstätige,919.275397999998,45.05408,130.39006,194.938252,167.290741,121.928375,84.45341,175.22048,617.988510083024
Selbstständige,128.720726,6.994199,15.431891,23.314664,20.23242,16.596188,10.41598,35.735384,692.034554279939
Beamte,43.277341,/,/,5.638516,8.369061,7.573945,5.16764,13.95057,729.581592963393
Angestellte,658.317301999997,29.585175,92.7249360000001,141.221045,122.990542,88.3028390000001,62.6193850000001,120.87338,612.882323132382
Arbeiter,79.906032,6.66294,17.397276,22.318334,14.167164,9.21234,6.007894,/,498.655268077885
Erwerbslose,55.272042,7.025433,14.089071,13.458902,9.76541300000001,/,/,/,482.741032509709
Nichterwerbspersonen,461.47891,29.067314,106.147171,132.236615,86.4512000000001,49.2497819999999,24.922853,33.403975,509.142770595951
darunter Rentner,352.331735999999,18.187433,77.725241,105.695709,70.987627,38.193612,17.810267,23.731847,511.763439308798
vor 1991,201.171498,10.499027,41.145683,64.417757,44.579457,20.851445,9.785522,9.892607,501.13569540552
1991 – 2000,169.342555,10.559918,32.152849,42.7307779999999,29.367002,20.954942,13.07252,20.504546,545.109042071557
2001 – 2010,423.829637000001,30.005264,84.5684060000001,102.571323,76.338592,46.522709,31.751332,52.072011,547.640702146085
2011 – 2014,282.716578,13.581514,45.641464,63.4047230000001,53.504474,37.57996,23.797166,45.207277,597.509089021302
2015 und später,358.966082,16.501104,47.1179,67.5091879999999,59.7178290000001,49.559017,34.667459,83.8935850000001,656.290154862041
ohne Migrationshintergrund,1069.617818,58.186341,195.32832,266.453341,195.691198999999,124.811712,78.824999,150.321906,570.36223713225
mit Migrationshintergrund,366.408532,22.960486,55.297982,74.180428,67.816155,50.656361,34.249,61.24812,599.52958586674
davon deutsch,123.429788,6.139415,18.4892,23.860809,25.393823,18.241724,11.532979,19.771838,596.201389376119
ausländisch,242.978743999999,16.821071,36.808782,50.319619,42.422332,32.414637,22.716021,41.476282,601.220262921435
