household_structure,total,gross_rent_per_sqm_below_6_euros,gross_rent_per_sqm_between_6_and_7_euros,gross_rent_per_sqm_between_7_and_8_euros,gross_rent_per_sqm_between_8_and_9_euros,gross_rent_per_sqm_between_9_and_10_euros,gross_rent_per_sqm_more_than_10_euros,gross_rent_per_sqm_average
Hauptmieterhaushalte,1436.02635,107.14462,181.580795,308.261119,286.794667999999,212.891879,339.353269000001,8.81916726297348
mit 1 Person,756.243125000002,58.669012,89.934491,160.961681,151.156705,112.847646,182.67359,8.89993019433917
darunter weiblich,384.597892,27.613812,48.877958,88.453115,77.404368,56.135217,86.1134220000001,8.79514484728012
mit 2 Personen,408.697573,30.93635,60.4574910000001,90.989641,78.1304759999999,55.364521,92.8190939999999,8.71643228719342
mit 3 Personen,145.599868,9.171792,16.126688,29.538127,28.059686,25.002616,37.700959,8.88913313935299
mit 4 Personen,90.7796670000001,5.094234,11.271727,19.535071,21.463964,14.469086,18.945585,8.64036088329045
mit 5 und mehr Personen,34.706117,/,/,7.236599,7.983837,5.20801,7.214041,8.44332818259071
mit Kindern unter 18 Jahren,270.223666,17.621831,31.174918,55.637225,56.168541,42.556474,67.064677,8.79179667867726
mit 1 Kind,157.955226,10.290811,17.71289,32.625695,30.535013,24.282526,42.508291,8.88980323057332
mit 2 Kindern,82.436998,/,10.503888,17.599707,17.913128,13.740506,18.247873,8.70145359963025
mit 3 Kindern,22.558205,/,/,/,6.310688,/,/,8.55331554900351
mit 4 und mehr Kindern,7.273237,/,/,/,/,/,/,8.42698956243736
ohne Kinder unter 18 Jahren,1165.802684,89.5227890000001,150.405877,252.623894,230.626127,170.335405,272.288592,8.82551154381156
unter 900,112.781691,11.1376,14.254221,24.342105,22.854721,17.939563,22.253481,8.50364996172703
900  –  1 500,324.871324,26.405731,42.233754,75.950077,72.250152,44.829742,63.201868,8.53230874894676
1 500  –  2 000,268.305485999999,22.054708,36.972632,62.104057,56.027764,41.607295,49.53903,8.50089915759394
2 000  –  3 200,401.947261,28.709437,56.787664,89.9821660000001,77.5528080000001,59.731593,89.183593,8.71822837692516
3 200  –  4 500,195.894209,12.019853,21.250633,40.437674,36.683837,29.061451,56.440761,9.14213088384657
4 500  –  6 000,85.08395,/,7.635021,11.22283,15.819098,14.171416,31.272635,9.72907169203472
6 000 und mehr,46.036995,/,/,/,5.414257,5.342709,27.260929,11.3107359110208
1 Einkommensbezieher,840.715590000001,66.041846,101.064986,177.368816,166.308411,127.277881,202.653649999999,8.88505011543766
2 und mehr Einkommensbezieher,594.603809,41.102774,80.4087380000001,130.800223,120.294226,85.405888,136.59196,8.7263520762503
Erwerbspersonen,974.547439999998,69.112461,108.334507,191.665019,188.10406,150.387406,266.943987,9.05708234102391
Erwerbstätige,919.275397999998,64.906762,101.243551,179.81644,176.413374,141.749088,255.146183,9.08490158510646
Selbstständige,128.720726,12.517497,13.581163,22.805355,21.877666,18.522561,39.416484,9.12532909994812
Beamte,43.277341,/,/,7.768035,9.060399,7.89484,13.248337,9.34210043287186
Angestellte,658.317301999997,43.853338,70.754805,126.982696,125.549699,102.052196,189.124568,9.16873459848328
Arbeiter,79.906032,6.796299,11.740624,20.959647,17.828899,11.835779,10.744784,8.19113172842338
Erwerbslose,55.272042,/,7.090956,11.848579,11.690686,8.638318,11.797804,8.59439730622678
Nichterwerbspersonen,461.47891,38.032159,73.246288,116.5961,98.690608,62.504473,72.409282,8.31674012009167
darunter Rentner,352.331735999999,29.902513,62.72266,94.560064,77.016548,43.833511,44.2964399999999,8.12797288514269
vor 1991,201.171498,35.159491,46.7093040000001,60.739716,34.987313,14.547742,9.027932,7.32308154565353
1991 – 2000,169.342555,18.390657,31.277397,41.994847,38.579784,21.659774,17.440096,7.92465390120061
2001 – 2010,423.829637000001,32.052006,64.340064,108.265194,96.9150879999999,63.183986,59.0732989999999,8.23447031818434
2011 – 2014,282.716578,11.820388,22.643527,57.174442,58.866522,52.726838,79.484861,9.06743254410088
2015 und später,358.966082,9.722078,16.610503,40.08692,57.445961,60.7735389999999,174.327081,10.5744087684991
ohne Migrationshintergrund,1069.617818,87.3839250000001,148.926848,244.818166,213.43211,150.991962,224.064807,8.59509575820715
mit Migrationshintergrund,366.408532,19.760695,32.653947,63.442953,73.3625580000001,61.899917,115.288462,9.47327559581143
davon deutsch,123.429788,7.39436,13.172989,24.957069,28.754003,21.354227,27.79714,8.8279611732766
ausländisch,242.978743999999,12.366335,19.480958,38.485884,44.608555,40.54569,87.4913220000001,9.80108625552419
