household_structure,households,percentage_of_household_net_income_below_15%,percentage_of_household_net_income_between_15_and_20%,percentage_of_household_net_income_between_20_and_25%,percentage_of_household_net_income_between_25_and_30%,percentage_of_household_net_income_between_30_and_35%,percentage_of_household_net_income_between_35_and_40%,percentage_of_household_net_income_between_40_and_45%,percentage_of_household_net_income_above_45%,percentage_of_household_net_income_average
Hauptmieterhaushalte,1434.814078,10.1256272312655,15.8187451238542,18.8409763428596,16.1909927259578,12.4405906477313,9.30286962238739,6.77168279080683,10.508515515137,28.2201575290091
mit 1 Person,755.534157000002,5.57385296347363,10.0032122042101,15.4595021175197,16.3661236033303,14.7881488831219,12.1237359226368,9.8290248444717,15.8563994612357,31.9871939926073
darunter weiblich,384.199652,/,8.09626318974385,14.6228232398295,17.5411335354359,16.0388979217503,13.2027821305783,10.5339764857465,16.6593810449365,33.1345891198259
mit 2 Personen,408.590123,16.0838635837509,22.4839605337205,22.5125011159411,15.6009821118461,8.90775252538349,5.9283574507747,/,/,23.9359334146215
mit 3 Personen,145.508543,15.4910437114335,21.2556454503156,21.6918892521658,15.4184734019363,11.311157173775,6.94293117896178,/,/,24.3161293010816
mit 4 Personen,90.4751380000001,12.3264813367845,24.3159805956858,25.1375908373856,17.8368437525898,10.0021798253571,/,/,/,23.5052870325547
mit 5 und mehr Personen,34.706117,/,19.0051742175594,20.8622704752594,18.272894083772,/,/,/,/,25.3104386756951
mit Kindern unter 18 Jahren,270.02752,10.3118700642068,19.7809071460568,21.7031997331235,17.7068237341142,12.722815807811,8.33465529735637,/,5.57169987710883,25.8106153550571
ohne Kinder unter 18 Jahren,1164.786558,10.0824513464208,14.9002139325855,18.177439252351,15.8395840622329,12.3751635876965,9.52732663661113,7.44482466804016,11.6529965140618,28.7787514560243
unter 900,112.674853,/,/,/,/,8.84825028349492,16.7347757711297,22.2888917370054,48.504972977422,45.8989513480883
900  –  1 500,324.871324,/,/,7.13798827008813,14.1150672935356,21.0437000589193,19.3136741733475,13.8974075779,22.2070631263226,37.2473209977745
1 500  –  2 000,268.305485999999,/,8.05998763663,20.8072487940109,27.289602270749,18.6958212252135,11.2434462111595,6.37284173906159,5.6017501632449,29.2423299872444
2 000  –  3 200,401.947261,7.43114430626759,24.5697920056234,30.1975188730046,19.8313564326042,9.53837523475499,/,/,/,23.5756881249155
3 200  –  4 500,195.894209,26.4987057376464,31.7307332959496,23.3132200452133,11.2940112486939,/,/,/,/,19.1749120159034
4 500  –  6 000,85.08395,38.4507900726283,32.0688073367538,18.457431748291,7.81779289748536,/,/,/,/,16.9844037212659
6 000 und mehr,46.036995,52.2617712124782,22.5778029169801,16.764006860135,/,/,/,/,–,15.0969891931478
1 Einkommensbezieher,840.407989000001,5.36547029421445,10.0243302184982,15.6500568439979,16.7453880546107,14.889745413879,12.1471118000046,9.61042089760524,15.5674764771899,31.9105540213992
2 und mehr Einkommensbezieher,594.406089,16.8558306945608,24.0112462912539,23.3524951323304,15.4071544176258,8.97782458618118,5.28150461123557,/,/,23.0024473605283
Erwerbspersonen,973.948928999998,12.9960619321139,18.8512550846493,20.8597682024866,16.6992849580925,11.0615310302375,7.41540452990222,/,7.19058996983611,25.9371929192808
Erwerbstätige,918.773705999998,13.7642166046054,19.8556358120244,21.6854561355939,17.1934661351748,10.9131395843407,6.88019852845028,/,5.62237041206751,25.0694460894814
Selbstständige,128.523006,15.6226458008615,17.2063412522424,16.4384203712135,14.7779775708016,10.4249639165769,8.06464019367863,6.40223198638849,11.0627789082369,27.3142263027991
Beamte,43.277341,24.9641631171379,28.7911819721087,24.2167096171643,11.9040377272716,/,/,/,/,19.8266824895735
Angestellte,658.118150999997,13.3615202477527,20.2159406784088,22.491844781227,17.9394041663501,10.9220613184395,6.6699783212635,/,/,24.7470880300944
Arbeiter,79.906032,9.42625207568811,17.8418845776249,23.3737835962121,17.9454962799304,12.8593596037906,8.50663939863765,/,/,25.9548828303725
Erwerbslose,55.175223,/,/,/,/,13.5325343406405,16.3276150238668,18.923504849269,33.3044653032032,40.3868485316317
Nichterwerbspersonen,460.865149,/,9.41012465231994,14.5746520746354,15.1168158736169,15.3549651462146,13.2916602899822,10.6719542813596,17.5203063575545,33.0447595658833
darunter Rentner,352.029416999999,/,11.8085424093976,16.9261908586464,17.1763733597298,15.6056461042857,12.2670592043165,9.14623308312897,12.0973955423731,30.7591178154296
vor 1991,200.880917,12.1336677291253,18.2169633365423,18.8406656865271,14.2851174857988,12.6048269682083,8.96651820839708,6.67932285474385,8.27291773065732,27.1414588524603
