district_name,apartments,single_family_house_total,single_family_house_detached,single_family_house_semi_detached,single_family_house_terraced,multi_family_house_total,multi_family_house_detached,multi_family_house_terraced
Mitte,169.111799000004,/,–,–,/,169.004388000004,5.121496,163.882892000003
Friedrichshain-Kreuzberg,133.265161999998,–,–,–,–,133.265161999998,/,130.517209999998
Pankow,199.750599000008,20.111116,15.291313,/,/,179.639483000005,16.7634369999999,162.876046000003
Charlottenburg-Wilmersdorf,161.325871999996,/,/,/,/,157.493305999996,8.80031000000001,148.692995999996
Spandau,108.393162999998,17.668047,6.101889,/,/,90.725115999999,/,85.9704979999992
Steglitz-Zehlendorf,143.928886999998,24.944611,11.022257,/,9.65329800000001,118.984275999998,23.3267000000001,95.6575759999983
Tempelhof-Schöneberg,166.391735,13.49271,6.216146,/,/,152.899025,9.43164099999999,143.467384000001
Neukölln,148.941273000002,18.825607,11.337644,/,/,130.115666000003,6.132526,123.983140000003
Treptow-Köpenick,127.411111999999,22.065052,15.644353,/,/,105.346059999999,14.631096,90.7149639999994
Marzahn-Hellersdorf,128.207206000002,26.878009,19.168378,5.883644,/,101.329197000001,6.088555,95.2406420000008
Lichtenberg,144.921464999997,8.340405,5.232332,/,/,136.581059999997,6.48788,130.093179999996
Reinickendorf,119.470790000002,25.101242,15.00331,6.986436,/,94.3695480000016,12.246192,82.1233560000012
