district_name,apartments,living_area_below_40sqm,living_area_between_40_and_60sqm,living_area_between_60_and_80sqm,living_area_between_80_and_100sqm,living_area_between_100_and_120sqm,living_area_above_120sqm
Mitte,169.111799000004,18.0886880000001,58.1889119999995,49.1395879999998,26.5881920000001,9.04434400000001,8.062075
Friedrichshain-Kreuzberg,133.265161999998,13.052772,36.524862,40.8757859999999,23.347082,12.136788,7.32787200000001
Pankow,199.750599000008,11.269814,57.4051199999996,60.0702979999996,33.1814189999998,16.815937,21.0080109999999
Charlottenburg-Wilmersdorf,161.325871999996,13.312888,41.857733,44.770003,26.0890149999999,15.242226,20.054007
Spandau,108.393162999998,6.79635800000001,27.5385870000001,36.4789040000001,19.518482,10.320279,7.740553
Steglitz-Zehlendorf,143.928886999998,8.08352999999999,29.5404570000001,38.7860289999999,24.5383220000001,15.889269,27.09128
Tempelhof-Schöneberg,166.391735,12.542394,42.3520520000002,46.1587590000004,30.9425729999999,15.746625,18.649332
Neukölln,148.941273000002,13.763266,33.7664689999999,52.6528229999997,27.382149,10.293076,11.08349
Treptow-Köpenick,127.411111999999,7.278534,36.6034249999999,38.9358769999999,19.993526,11.058233,13.541517
Marzahn-Hellersdorf,128.207206000002,14.051898,25.9567639999999,41.0731919999996,25.2290549999999,9.97365400000001,11.922643
Lichtenberg,144.921464999997,15.54854,40.596282,55.895434,22.072302,/,6.620513
Reinickendorf,119.470790000002,5.4822,27.5139449999999,42.2608090000001,18.616495,10.980352,14.616989
