type,total,below_300_euros,between_300_and_400_euros,between_400_and_500_euros,between_500_and_600_euros,between_600_and_700_euros,between_700_and_800_euros,more_than_800_euros
Insgesamt,1390.92266099991,177.176421000001,279.877450000002,288.652454000001,210.074171000001,143.797947,95.3588999999999,195.985318
1 Wohnung,15.5745950000001,/,/,/,/,/,/,9.66699000000001
2 Wohnungen,10.502788,/,/,/,/,/,/,/
3 –    6 Wohnungen,116.41304,9.61681700000001,18.753728,22.514108,16.577623,12.708999,11.137531,25.104234
7 –  9 Wohnungen,260.279778000002,23.708219,58.4656779999999,60.9053709999999,40.3807109999999,27.506759,16.436438,32.876602
10 –  20 Wohnungen,628.732635000002,68.8655579999999,119.371056,128.230203,95.2661209999996,69.1178399999999,48.8564559999999,99.0254009999997
21 und mehr Wohnungen,359.419824999998,71.821688,81.8174639999999,74.6808059999998,55.953971,32.0418179999999,16.703651,26.400427
Privatperson(en),351.690503000005,34.443043,53.64992,54.7852879999999,47.9176479999999,40.8636409999999,31.3299239999999,88.7010389999997
privatwirtschaftliches Unternehmen,511.479390000002,62.5061539999998,92.1689879999999,106.825405,83.0067939999999,56.7219509999999,36.6632559999999,73.5868419999999
öffentliche Einrichtung,127.782427,18.794523,27.7378179999999,35.4293199999999,20.056492,10.607442,6.665446,8.49138600000001
Wohnungs-/Baugenossenschaft,399.970340999996,61.4327009999998,106.320724,91.6124409999997,59.0932369999999,35.6049129999999,20.700274,25.206051
unter  40,134.263281,88.5499039999999,32.075347,8.277899,/,/,/,/
40 –   60,431.758832,71.1538079999999,179.786569000001,109.929659,44.650453,14.581889,5.868471,5.787983
60 –   80,476.693963999996,12.279047,61.6413749999998,153.338799,119.67704,70.7464089999999,30.676246,28.335048
80 – 100,218.399348,/,/,14.479629,37.1514939999999,47.2921629999999,43.6431049999999,68.0577849999999
100 – 120,78.8735499999998,/,/,/,/,8.135087,11.227321,50.5043859999999
120 und mehr,50.9336859999999,/,/,/,/,/,/,42.758488
Zusammen,548.999321000008,62.8079589999999,105.100402,103.228179,81.9571969999997,60.0930669999998,38.412568,97.3999489999997
unter  40,38.0894879999999,20.522317,12.367261,/,/,/,/,/
40 –   60,178.431351000001,31.678072,68.3680109999999,47.8882939999999,18.418241,8.062446,/,/
60 –   80,161.374106,7.121606,18.885046,43.9360909999999,43.0498309999999,26.808388,9.93614500000001,11.636999
80 – 100,87.3724029999997,/,/,5.91045,14.967746,17.331306,15.941161,27.414497
100 – 120,47.7158579999999,/,/,/,/,6.25654,8.065289,26.4828149999999
120 und mehr,36.016115,/,/,/,/,/,/,30.129509
Zusammen,841.369843000002,114.146553,174.663302,185.312752000001,128.116974,83.7048799999999,56.9463319999999,98.4790499999998
unter  40,96.0592950000001,67.913089,19.708086,/,/,/,/,/
40 –   60,253.213735000002,39.4757359999999,111.304812,62.0413649999999,26.232212,6.519443,/,/
60 –   80,315.100924,5.05003,42.7563289999999,109.291185,76.6272089999998,43.938021,20.740101,16.698049
80 – 100,131.026945,/,/,8.569179,22.183748,29.960857,27.701944,40.643288
100 – 120,31.157692,/,–,/,/,/,/,24.021571
120 und mehr,14.811252,/,–,/,/,/,/,12.52266
