type,households,collective_heating,district_heating,gas,electricity,heating_oil,briquettes_lignite_coal_coke_hard_coal,wood_or_other_renewable_energies
Insgesamt,1887,1843,865,683,60,212,/,22
bis 1918,395,380,107,229,/,33,/,/
1919 – 1948,304,297,108,149,/,32,/,/
1949 – 1978,627,613,310,165,22,111,/,/
1979 – 1990,262,259,186,38,/,25,/,/
1991 – 2000,132,131,62,54,/,10,/,/
2001 und später,166,163,93,47,/,/,/,11
unter  40,155,151,81,43,/,15,/,/
40 –   60,492,480,252,163,18,44,/,/
60 –   80,586,575,310,178,17,65,/,/
80 – 100,318,310,137,125,/,36,/,/
100 – 120,153,149,47,73,/,22,/,/
120 und mehr,180,176,37,100,/,30,/,/
Zusammen,301,291,65,153,/,63,/,/
bis 1918,48,47,11,30,/,/,/,/
1919 – 1948,62,59,10,38,/,11,/,/
1949 – 1978,80,77,18,24,/,34,/,/
1979 – 1990,25,24,/,10,/,9,/,/
1991 – 2000,33,33,/,24,/,/,/,/
2001 und später,54,52,17,27,/,/,/,/
unter  40,/,/,/,/,/,/,/,/
40 –   60,24,23,/,/,/,/,/,/
60 –   80,48,46,18,15,/,13,/,/
80 – 100,61,58,14,31,/,12,/,/
100 – 120,53,51,/,31,/,11,/,/
120 und mehr,112,109,15,67,/,21,/,/
Zusammen,1586,1552,800,530,57,149,/,15
bis 1918,347,334,95,200,/,28,/,/
1919 – 1948,242,238,99,111,/,20,/,/
1949 – 1978,547,536,292,141,21,77,/,/
1979 – 1990,238,235,182,28,/,16,/,/
1991 – 2000,99,98,57,30,/,/,/,/
2001 und später,112,111,76,21,/,/,/,/
unter  40,152,148,80,42,/,14,/,/
40 –   60,468,457,243,155,18,39,/,/
60 –   80,538,529,292,163,17,52,/,/
80 – 100,256,252,123,94,/,23,/,/
100 – 120,100,97,40,42,/,10,/,/
120 und mehr,69,67,22,33,/,9,/,/
