type,total,living_area,living_area_per_apartment,persons_per_apartment,living_area_per_person
Mitte,195,1340,69.2,1.8,44.8
Eigentümerwohnungen,17,155,92.2,2.1,51.2
Mietwohnungen,178,1185,67,1.8,44.2
Friedrichshain-Kreuzberg,141,1010,72,1.9,46.9
Eigentümerwohnungen,13,137,107.6,2.1,62.3
Mietwohnungen,128,873,68.4,1.8,45.3
Pankow,206,1569,76.3,1.9,47
Eigentümerwohnungen,29,321,110.7,2.4,56.1
Mietwohnungen,177,1248,70.6,1.9,45.5
Charlottenburg-Wilmersdorf,173,1382,80.2,1.8,52.6
Eigentümerwohnungen,31,338,110.6,2,66.3
Mietwohnungen,142,1044,73.6,1.7,49.7
Spandau,124,910,73.3,1.9,45.6
Eigentümerwohnungen,22,231,103,2.3,53.6
Mietwohnungen,102,679,66.7,1.9,43.8
Steglitz-Zehlendorf,142,1217,86,2,51.3
Eigentümerwohnungen,40,497,124.2,2.2,65.9
Mietwohnungen,102,720,70.9,1.8,45.6
Tempelhof-Schöneberg,174,1333,77,1.8,50.5
Eigentümerwohnungen,26,281,106.5,2,65.8
Mietwohnungen,147,1051,71.6,1.8,47.7
Neukölln,164,1162,70.8,1.9,45.6
Eigentümerwohnungen,27,278,102.3,2.1,58.9
Mietwohnungen,137,883,64.6,1.9,42.9
Treptow-Köpenick,148,1117,75.5,1.9,45.9
Eigentümerwohnungen,32,361,114.1,2.4,53.8
Mietwohnungen,116,756,65.1,1.7,43.7
Marzahn-Hellersdorf,142,1016,71.8,2,43.5
Eigentümerwohnungen,23,247,108.7,2.3,55.4
Mietwohnungen,119,769,64.7,1.9,41.2
Lichtenberg,153,1022,67.1,1.9,42.7
Eigentümerwohnungen,/,/,/,/,/
Mietwohnungen,143,920,64.4,1.8,42
Reinickendorf,127,1021,80.5,2,48.6
Eigentümerwohnungen,32,351,110.7,2.3,57.9
Mietwohnungen,95,670,70.4,1.9,45.5
Land Berlin,1887,14099,74.8,1.9,47.1
Eigentümerwohnungen,301,3300,109.7,2.2,59.2
Mietwohnungen,1586,10799,68.2,1.8,44.8
