household_structure,total,gross_rent_per_sqm_below_6_euros,gross_rent_per_sqm_between_6_and_7_euros,gross_rent_per_sqm_between_7_and_8_euros,gross_rent_per_sqm_between_8_and_9_euros,gross_rent_per_sqm_between_9_and_10_euros,gross_rent_per_sqm_more_than_10_euros,gross_rent_per_sqm_average
Mitte,172.0,25.0,23.0,27.0,21,16,59,10.9
Friedrichshain-Kreuzberg,121.0,14.0,12.0,22.0,16,13,43,10.6
Pankow,171.0,26.0,24.0,30.0,22,19,49,9.9
Charlottenburg-Wilmersdorf,135.0,11.0,17.0,25.0,21,18,44,10.5
Spandau,98.0,12.0,23.0,23.0,15,/,15,8.9
Steglitz-Zehlendorf,96.0,8.0,13.0,19.0,15,15,26,9.8
Tempelhof-Schöneberg,140.0,21.0,24.0,30.0,24,14,27,9.3
Neukölln,129.0,19.0,25.0,32.0,19,12,22,9.1
Treptow-Köpenick,109.0,15.0,24.0,25.0,12,/,21,9.5
Marzahn-Hellersdorf,114.0,31.0,35.0,20.0,/,/,/,8.1
Lichtenberg,139.0,29.0,38.0,27.0,17,/,21,8.8
Reinickendorf,90.0,10.0,18.0,23.0,15,/,14,9.1
