household_structure,total,single_family_house_total,single_family_house_detached,single_family_house_semi_detached,single_family_house_terraced,multi_family_house_total,multi_family_house_detached,multi_family_house_terraced
Haushalte,1977,194,121,38,35,1781,219,1562
Eigentümerhaushalte,304,149,96,30,23,155,33,121
Mieterhaushalte,1672,45,24,/,12,1626,186,1440
mit 1 Person,983,44,27,9,/,939,113,826
darunter weiblich,514,26,16,/,/,487,60,427
mit 2 Personen,582,83,51,18,14,498,65,433
mit 3 Personen,201,28,17,/,/,173,21,152
mit 4 Personen,155,27,16,/,/,127,16,112
mit 5 und mehr Personen,56,/,/,/,/,44,/,39
mit Kindern unter 18 Jahren,382,52,32,/,11,330,38,292
mit 1 Kind,199,22,13,/,/,177,20,157
mit 2 Kindern,139,21,12,/,/,118,14,104
mit 3 Kindern,34,/,/,/,/,27,/,23
mit 4 und mehr Kindern,/,/,/,/,/,/,/,/
ohne Kinder unter 18 Jahren,1594,142,88,30,24,1451,181,1270
unter 1000,169,/,/,/,/,163,25,138
1000  –  1500,248,10,/,/,/,238,27,210
1500  –  2000,274,15,9,/,/,259,30,229
2000  –  3500,647,52,34,9,9,595,68,527
3500  –  4500,250,30,18,/,/,219,25,194
4500  –  6000,201,36,22,/,/,164,22,142
6000 und mehr,188,45,28,/,/,142,21,121
1 Einkommensbezieher,1089,54,34,11,9,1034,127,907
2 und mehr Einkommensbezieher,886,140,87,27,26,746,92,654
Erwerbspersonen,1344,120,75,23,22,1222,132,1090
Erwerbstätige,1292,118,73,23,22,1172,129,1043
Selbstständige,161,22,14,/,/,139,14,125
Beamte,67,13,/,/,/,55,/,46
Angestellte,987,79,50,14,15,906,98,808
Arbeiter,61,/,/,/,/,57,/,51
Erwerbslose,52,/,/,/,/,50,/,47
Nichterwerbspersonen,632,74,46,15,12,559,87,471
darunter Rentner,462,66,41,13,12,396,64,332
unter 25,100,/,/,/,/,97,/,86
25 – 45,757,38,26,/,/,718,70,648
45 – 65,635,83,50,18,15,551,70,480
65 und mehr,485,70,44,14,12,415,68,347
ohne Migrationshintergrund,1377,159,99,31,28,1217,151,1066
mit Migrationshintergrund,599,35,21,/,/,564,69,495
davon deutsch,205,17,11,/,/,187,21,167
ausländisch,395,18,/,/,/,377,48,329
