household_structure,households,percentage_of_household_net_income_below_15%,percentage_of_household_net_income_between_15_and_25%,percentage_of_household_net_income_between_25_and_35%,percentage_of_household_net_income_between_35_and_45%,percentage_of_household_net_income_above_45%,percentage_of_household_net_income_average
Mitte,172.0,32.0,60.0,41.0,18,22,28.7
Friedrichshain-Kreuzberg,121.0,19.0,47.0,26.0,14,14,27.8
Pankow,171.0,31.0,66.0,42.0,16,15,26.2
Charlottenburg-Wilmersdorf,135.0,20.0,44.0,35.0,19,17,29.0
Spandau,98.0,14.0,40.0,24.0,11,/,27.2
Steglitz-Zehlendorf,96.0,14.0,34.0,26.0,10,12,28.5
Tempelhof-Schöneberg,140.0,21.0,51.0,36.0,18,14,28.0
Neukölln,129.0,20.0,44.0,27.0,21,18,29.6
Treptow-Köpenick,109.0,17.0,44.0,27.0,13,/,26.3
Marzahn-Hellersdorf,114.0,21.0,49.0,27.0,10,/,24.8
Lichtenberg,139.0,26.0,62.0,30.0,/,/,24.7
Reinickendorf,90.0,12.0,33.0,24.0,13,/,28.0
