household_structure,households,below_300_euros,between_300_and_400_euros,between_400_and_500_euros,between_500_and_600_euros,between_600_and_700_euros,between_700_and_800_euros,more_than_800_euros
Hauptmieterhaushalte,1516,369,286,247,179,116,86,232
mit 1 Person,779,312,174,119,71,36,24,43
darunter weiblich,405,147,97,70,40,20,11,20
mit 2 Personen,432,49,84,88,60,38,32,83
mit 3 Personen,153,/,18,23,26,20,14,46
mit 4 Personen,112,/,/,14,17,17,/,44
mit 5 und mehr Personen,40,/,/,/,/,/,/,16
mit Kindern unter 18 Jahren,300,/,35,43,46,36,27,101
mit 1 Kind,162,/,23,27,25,18,14,48
mit 2 Kindern,105,/,/,/,17,14,/,40
mit 3 Kindern,24,/,/,/,/,/,/,/
mit 4 und mehr Kindern,/,/,/,/,/,/,/,/
ohne Kinder unter 18 Jahren,1216,357,251,205,133,79,59,131
unter 1000,134,89,25,/,/,/,/,/
1000  –  1500,200,92,51,29,16,/,/,/
1500  –  2000,223,71,58,42,25,10,/,/
2000  –  3500,522,96,114,110,82,46,32,43
3500  –  4500,189,15,23,32,30,22,19,48
4500  –  6000,142,/,12,16,15,17,14,63
6000 und mehr,105,/,/,/,/,/,/,64
1 Einkommensbezieher,868,320,188,134,86,47,29,64
2 und mehr Einkommensbezieher,646,49,98,113,93,68,57,168
Erwerbspersonen,1041,214,173,162,131,87,69,205
Erwerbstätige,998,200,164,157,128,84,65,201
Selbstständige,110,20,14,13,12,/,/,34
Beamte,46,/,/,/,/,/,/,13
Angestellte,780,154,130,128,102,66,51,149
Arbeiter,50,15,/,/,/,/,/,/
Erwerbslose,43,15,/,/,/,/,/,/
Nichterwerbspersonen,475,155,113,85,48,29,18,27
darunter Rentner,342,107,86,65,34,20,12,17
vor 1999,274,86,70,53,27,18,9,11
1999 – 2008,304,83,63,52,37,22,19,27
2009 – 2018,571,130,100,91,69,50,35,96
2019 und später,368,70,54,51,45,26,23,98
ohne Migrationshintergrund,1050,269,212,175,119,74,55,145
mit Migrationshintergrund,467,100,75,72,60,42,32,87
davon deutsch,157,32,26,25,20,16,13,26
ausländisch,310,68,49,47,40,26,19,61
