type_index,type_parent_index,type,apartments,below_6_euros,between_6_and_7_euros,between_7_and_8_euros,between_8_and_9_euros,between_9_and_10_euros,more_than_10_euros,average
0,-1,total,1404.04683900001,121.921273000001,336.386876000003,472.540254000001,257.803415000001,108.516383,106.878638,7.66703065535527
1,0,1_apartment,18.213989,0.0,0.0,6.158515,0.0,0.0,0.0,7.70911211909673
2,0,2_apartments,19.154479,0.0,0.0,6.67607399999998,0.0,0.0,0.0,7.48819135293355
3,0,between_3_and_6_apartments,238.958424000001,17.649537,53.2267400000001,84.7768300000003,49.7889710000002,16.762896,16.75345,7.6778519546604
4,0,between_7_and_12_apartments,900.330855000005,85.0234770000005,231.703303000002,312.121215000001,149.805994000001,64.4478860000001,57.22898,7.56386289226672
5,0,between_13_and_20_apartments,70.028767,6.524085,11.098194,17.668317,14.679215,10.077793,9.981163,8.16757658621019
6,0,more_than_21_apartments,157.360325,8.053779,33.273929,45.1393030000001,36.863473,14.693671,19.33617,8.03501265909517
7,0,area_below_40sqm,139.3463,5.03648,10.696066,32.512572,38.016958,22.138589,30.945635,8.73731556689539
8,0,area_between_40_and_60sqm,465.185950000002,30.100322,99.6062570000005,178.814328000001,91.6473570000004,34.752344,30.265342,7.70539524870887
9,0,area_between_60_and_80sqm,518.978495000003,51.8351680000001,158.196604000001,172.805270000001,83.3288070000003,29.734866,23.07778,7.39073416699959
10,0,area_between_80_and_100sqm,182.006797,20.807771,50.2114230000001,56.2178010000002,31.082999,12.60695,11.079853,7.49717057134779
11,0,area_between_100_and_120sqm,59.145613,7.349681,12.220391,19.308648,8.778188,5.98515,5.503555,7.66193310088584
12,0,area_above_120sqm,39.383684,6.791851,5.456135,12.881635,0.0,0.0,6.006473,7.86056794197263
13,-1,build_before_1949,530.085633,55.272447,116.413752,191.833292,86.235369,38.482152,41.848621,7.63063406861974
14,13,area_below_40sqm,31.659064,0.0,0.0,9.773761,8.502248,0.0,5.094029,8.53729215412881
15,13,area_between_40_and_60sqm,174.132144,12.460822,35.259008,67.0598520000002,30.775745,13.675439,14.901278,7.75595780380128
16,13,area_between_60_and_80sqm,171.962314,19.81485,46.313643,60.3140860000002,25.489307,10.676684,9.353744,7.41860393950821
17,13,area_between_80_and_100sqm,83.274637,9.83715799999999,20.196545,30.265348,12.966232,0.0,5.549012,7.51707421503186
18,13,area_between_100_and_120sqm,36.215957,5.100521,7.85103,13.932635,0.0,0.0,0.0,7.4293776032374
19,13,area_above_120sqm,32.841517,6.54369,0.0,10.48761,0.0,0.0,0.0,7.71222913211215
20,-1,build_after_1949,873.961206000003,66.648826,219.973124000001,280.706962000002,171.568046,70.034231,65.030017,7.68910635801381
21,20,area_below_40sqm,107.687236,0.0,8.859949,22.738811,29.51471,17.201086,25.851606,8.7961206236644
22,20,area_between_40_and_60sqm,291.053806000001,17.6395,64.3472490000001,111.754476000001,60.8716120000002,21.076905,15.364064,7.67514460108685
23,20,area_between_60_and_80sqm,347.016181000002,32.020318,111.882961000001,112.491184000001,57.8395000000001,19.058182,13.724036,7.37692342607846
24,20,area_between_80_and_100sqm,98.73216,10.970613,30.014878,25.952453,18.116767,8.146608,5.530841,7.4803830453505
25,20,area_between_100_and_120sqm,22.929656,0.0,0.0,5.376013,0.0,0.0,0.0,8.02923995899785
26,20,area_above_120sqm,6.542167,0.0,0.0,0.0,0.0,0.0,0.0,8.60522510920679
