type_index,type_parent_index,type,apartments,condominium,condominium_percentage,rented_apartments,rented_apartments_percentage
0,1,inhabited_apartments,1711.32630200004,255.400308999999,14.9241152141185,1455.92599300004,85.0758847858815
1,0,build_before_1990,1659.14386600004,223.158396999999,13.4502137863428,1435.98546900004,86.5497862136572
2,0,build_after_1991,52.1824359999999,32.2419119999999,61.786904697205,19.940524,38.213095302795
3,0,collective_heating,1673.05117700004,249.630705999999,14.9206855971743,1423.42047100004,85.0793144028257
4,0,district_heating,715.955381000005,31.272387,4.36792401173388,684.682994000005,95.6320759882661
5,0,central_heating,737.175174000001,184.844743,25.0747379346771,552.330431000001,74.9252620653229
6,0,floor_heating,221.242769000001,33.89929,15.3222137623851,187.343479000001,84.6777862376149
7,0,single_or_multi_room_ovens,38.275125,5.769603,15.0740278444551,32.505522,84.9259721555449
8,0,area_below_40sqm,142.287685000001,0.0,0.0,140.123111000001,98.4787341223522
9,0,area_between_40_and_60sqm,492.751463000003,18.416817,3.7375468938993,474.334646000003,96.2624531061007
10,0,area_between_60_and_80sqm,589.749192999999,49.686667,8.42505044343488,540.062525999999,91.5749495565651
11,0,area_between_80_and_100sqm,237.290520000001,44.4865859999999,18.7477299978102,192.803934000001,81.2522700021898
12,0,area_between_100_and_120sqm,117.364439,53.46786,45.5571214377806,63.8965790000002,54.4428785622194
13,0,area_above_120sqm,131.883002,87.1778049999999,66.1023814122763,44.705197,33.8976185877237
14,0,with_1_apartment,149.151791,130.048615,87.1921242970525,19.103176,12.8078757029475
15,14,build_before_1990,120.463834,103.075492,85.5655083998074,17.388342,14.4344916001926
16,14,build_after_1991,28.6879569999999,26.9731229999999,94.0224603655116,0.0,0.0
17,14,collective_heating,143.389304,125.257451,87.3548078593087,18.131853,12.6451921406913
18,14,district_heating,5.293303,0.0,0.0,0.0,0.0
19,14,central_heating,118.624971,108.058931,91.0929040395719,10.56604,8.9070959604281
20,14,floor_heating,19.784784,15.17434,76.6970213068791,0.0,0.0
21,14,single_or_multi_room_ovens,5.762487,0.0,0.0,0.0,0.0
22,14,area_below_40sqm,0.0,0.0,0.0,0.0,0.0
23,14,area_between_40_and_60sqm,6.126434,0.0,0.0,0.0,0.0
24,14,area_between_60_and_80sqm,13.547003,9.423748,69.5633417959677,0.0,0.0
25,14,area_between_80_and_100sqm,23.710315,20.25104,85.4102528793903,0.0,0.0
26,14,area_between_100_and_120sqm,39.9994129999999,35.4922429999999,88.731909640774,0.0,0.0
27,14,area_above_120sqm,64.7383979999999,62.6505049999999,96.7748769439738,0.0,0.0
28,0,with_2_apartments,30.657681,9.978082,32.5467604676296,20.679599,67.4532395323704
29,28,build_before_1990,28.652664,9.139751,31.8984335976578,19.512913,68.1015664023422
30,28,build_after_1991,0.0,0.0,0.0,0.0,0.0
31,28,collective_heating,29.533493,9.65251499999999,32.6832826716434,19.880978,67.3167173283566
32,28,district_heating,6.04499399999999,0.0,0.0,5.58382699999999,92.3710925105964
33,28,central_heating,17.432409,7.54164300000001,43.2621962919755,9.890766,56.7378037080245
34,28,floor_heating,6.125034,0.0,0.0,0.0,0.0
35,28,single_or_multi_room_ovens,0.0,0.0,0.0,0.0,0.0
36,28,area_below_40sqm,0.0,0.0,0.0,0.0,0.0
37,28,area_between_40_and_60sqm,5.325231,0.0,0.0,0.0,0.0
38,28,area_between_60_and_80sqm,6.688879,0.0,0.0,5.835824,87.2466671919166
39,28,area_between_80_and_100sqm,5.975537,0.0,0.0,0.0,0.0
40,28,area_between_100_and_120sqm,0.0,0.0,0.0,0.0,0.0
41,28,area_above_120sqm,5.534975,0.0,0.0,0.0,0.0
42,0,with_3_to_6_apartments,279.101293000002,30.678889,10.9920268266188,248.422404000002,89.0079731733812
43,42,build_before_1990,270.580318000002,27.809597,10.2777604836727,242.770721000002,89.7222395163273
44,42,build_after_1991,8.520975,0.0,0.0,5.651683,66.3267173064115
45,42,collective_heating,274.010138000002,30.444965,11.1108899919607,243.565173000002,88.8891100080393
46,42,district_heating,109.350743000001,0.0,0.0,104.671518000001,95.7209024176452
47,42,central_heating,123.743937,21.380466,17.2779907592563,102.363471,82.7220092407437
48,42,floor_heating,41.0463020000001,0.0,0.0,36.6610280000001,89.3162750690671
49,42,single_or_multi_room_ovens,5.091155,0.0,0.0,0.0,0.0
50,42,area_below_40sqm,20.772327,0.0,0.0,20.772327,100.0
51,42,area_between_40_and_60sqm,82.4612560000004,0.0,0.0,79.3136930000004,96.1829795558777
52,42,area_between_60_and_80sqm,106.524111,9.372359,8.79834519341819,97.1517520000004,91.2016548065818
53,42,area_between_80_and_100sqm,42.723292,6.41152,15.007083255663,36.311772,84.9929167443371
54,42,area_between_100_and_120sqm,12.708348,0.0,0.0,7.858425,61.8367155195939
55,42,area_above_120sqm,13.911959,6.897524,49.5798183419028,7.014435,50.4201816580972
56,0,with_7_to_12_apartments,1000.37267199995,67.3544760000001,6.7329384223726,933.018195999951,93.2670615776274
57,56,build_before_1990,991.779006999951,66.9709060000001,6.75260370781405,924.808100999951,93.247396292186
58,56,build_after_1991,8.59366500000001,0.0,0.0,8.21009500000001,95.5365958528753
59,56,collective_heating,976.068393999952,66.9355280000001,6.85766780396369,909.132865999952,93.1423321960363
60,56,district_heating,444.936311000003,18.534367,4.16562248164094,426.401944000003,95.8343775183591
61,56,central_heating,386.175015000001,37.903668,9.81515285239258,348.271347000001,90.1848471476074
62,56,floor_heating,145.765673000001,10.641545,7.30044651870809,135.124128000001,92.6995534812919
63,56,single_or_multi_room_ovens,24.304278,0.0,0.0,23.88533,98.2762376236809
64,56,area_below_40sqm,64.6121650000001,0.0,0.0,63.6041470000001,98.4398944068814
65,56,area_between_40_and_60sqm,325.616944000001,8.716734,2.67699029814614,316.900210000001,97.3230097018539
66,56,area_between_60_and_80sqm,381.220610000001,24.060176,6.31135236890785,357.160434000001,93.6886476310922
67,56,area_between_80_and_100sqm,135.873461000001,12.675345,9.32878643607961,123.198116000001,90.6712135639204
68,56,area_between_100_and_120sqm,50.287707,8.711761,17.3238382096046,41.575946,82.6761617903954
