type_index,type_parent_index,type,apartments,living_area,living_area_per_apartment,persons_per_apartment,living_area_per_person
0,-1,total,1751.11906299981,13102.6670391985,74.8245354416542,1.91083651003575,39.1579996764109
1,0,1_apartment,160.257212000003,1968.90807660003,122.859249329759,2.47386058981233,49.6629639664047
2,0,2_apartments,31.0924120000001,324.858512000001,104.481605351171,2.17391304347826,48.0615384615385
3,0,between_3_and_6_apartments,148.094149,1144.9369529,77.3114238902174,1.89142928259779,40.8746045128548
4,0,between_7_and_9_apartments,299.521675,2117.8262629,70.7069450950418,1.86146708748206,37.9845260604014
5,0,between_10_and_20_apartments,721.754617000001,5150.0470015,71.3545418373124,1.91388210683243,37.2826213185135
6,0,more_than_21_apartments,390.398998,2396.0902333,61.3754196495146,1.69837382881807,36.1377563691186
7,-1,condominiums,304.964698000009,3303.4031508001,108.320837541662,2.20878386389496,49.0409402713806
8,7,1_apartment,143.608507000001,1781.07846090001,124.023186237846,2.43380703066567,50.9585125998772
9,7,2_apartments,19.23778,219.258698,113.972972972973,2.26486486486486,50.3221957040573
10,7,between_3_and_6_apartments,28.4547299999999,283.377174099999,99.5887763124093,1.9970080545484,49.8689908063141
11,7,between_7_and_9_apartments,29.302403,263.2115502,89.8259266313414,1.89728951581207,47.3443435399446
12,7,between_10_and_20_apartments,63.587028,594.0988088,93.4308187512711,2.06845735894434,45.1693230934934
13,7,more_than_21_apartments,20.77425,162.3784588,78.163331431941,1.76026643561139,44.4042616791659
14,-1,rented_apartments,1446.1543649999,9799.26388839932,67.7608430023995,1.84800544096826,36.6670148800517
15,14,1_apartment,16.6487050000001,187.829615700001,112.81935483871,2.81935483870968,40.0160183066362
16,14,2_apartments,11.854632,105.599814,89.0789473684211,2.02631578947368,43.961038961039
17,14,between_3_and_6_apartments,119.639419,861.559778799997,72.0130360044626,1.86631870052796,38.5856049045059
18,14,between_7_and_9_apartments,270.219272,1854.6147127,68.6336951089115,1.85758252653423,36.9478578359392
19,14,between_10_and_20_apartments,658.167589000002,4555.94819270001,69.2217038463135,1.89894824948605,36.4526541810963
20,14,more_than_21_apartments,369.624748,2233.7117745,60.4318781841955,1.69489524007738,35.6552291582556
