type_index,type_parent_index,type,apartments,district_heating,gas,electricity,heating_oil,briquettes_lignite_coal_coke_hard_coal,wood_or_other_renewable_energies
0,-1,total,1751.1190629998,755.341045,582.126320000006,251.289949999997,146.208494,0.0,15.187011
1,0,until_2018,413.27804600001,95.4849849999998,217.363547000001,67.0271620000001,29.485,0.0,0.0
2,0,between_1919_and_1948,285.102711000003,86.4495989999993,135.66658,37.9104809999999,23.895343,0.0,0.0
3,0,between_1949_and_1978,627.743126000004,307.153653,124.96134,126.690972,65.075541,0.0,0.0
4,0,between_1979_and_1990,224.629513000003,165.692081000002,29.540392,13.517556,15.449375,0.0,0.0
5,0,between_1991_and_2000,120.284988999999,57.2404629999998,45.5798189999999,0.0,11.023676,0.0,0.0
6,0,2001_and_later,79.4197699999998,43.0920199999998,28.7957079999999,0.0,0.0,0.0,5.074483
7,-1,condominiums,304.96469800001,54.6543619999999,147.211631000001,48.086908,47.5422539999999,0.0,6.93358
8,7,until_2018,52.139819,12.421321,27.642294,6.304571,4.897187,0.0,0.0
9,7,between_1919_and_1948,61.2096779999998,5.440249,34.8651449999999,9.35637500000001,10.584633,0.0,0.0
10,7,between_1949_and_1978,88.4872829999999,13.442256,26.619031,26.021194,21.149501,0.0,0.0
11,7,between_1979_and_1990,31.3524969999999,6.859737,12.522134,0.0,7.383333,0.0,0.0
12,7,between_1991_and_2000,33.362096,0.0,24.619669,0.0,0.0,0.0,0.0
13,7,2001_and_later,38.3059139999999,12.335306,20.943358,0.0,0.0,0.0,0.0
14,-1,rented_apartments,1446.15436499989,700.686682999997,434.914689000005,203.203041999998,98.6662400000003,0.0,8.253431
15,14,until_2018,361.138227000007,83.0636639999997,189.721253000001,60.722591,24.587813,0.0,0.0
16,14,between_1919_and_1948,223.893033,81.0093499999996,100.801435,28.554106,13.31071,0.0,0.0
17,14,between_1949_and_1978,539.255843000002,293.711397000001,98.3423089999999,100.669778,43.92604,0.0,0.0
18,14,between_1979_and_1990,193.277016000002,158.832344000002,17.018258,9.251404,8.066042,0.0,0.0
19,14,between_1991_and_2000,86.9228929999998,53.0849699999998,20.96015,0.0,8.028518,0.0,0.0
20,14,2001_and_later,41.1138559999998,30.756714,7.85235000000001,0.0,0.0,0.0,0.0
